iter	Passed	Remaining
0	137	137140
1	139	69632
2	141	46867
3	142	35469
4	144	28671
5	145	24115
6	146	20819
7	147	18347
8	149	16509
9	151	15018
10	152	13752
11	154	12703
12	155	11838
13	157	11083
14	158	10415
15	159	9833
16	161	9356
17	163	8915
18	165	8533
19	166	8178
20	168	7858
21	170	7559
22	171	7281
23	173	7042
24	175	6826
25	176	6618
26	178	6426
27	180	6254
28	181	6083
29	183	5922
30	185	5800
31	187	5669
32	189	5541
33	191	5431
34	193	5336
35	195	5247
36	197	5152
37	199	5055
38	201	4960
39	202	4869
40	204	4793
41	207	4732
42	209	4660
43	211	4590
44	213	4529
45	215	4470
46	217	4414
47	220	4365
48	222	4317
49	224	4269
50	226	4222
51	229	4180
52	231	4136
53	234	4108
54	237	4072
55	239	4035
56	241	3996
57	243	3959
58	246	3928
59	248	3894
60	250	3863
61	253	3829
62	255	3799
63	257	3769
64	259	3736
65	262	3711
66	264	3686
67	266	3658
68	269	3632
69	271	3608
70	273	3582
71	275	3557
72	278	3538
73	281	3517
74	283	3495
75	285	3470
76	287	3448
77	290	3430
78	292	3412
79	295	3396
80	297	3377
81	300	3363
82	301	3333
83	304	3318
84	306	3301
85	309	3291
86	314	3297
87	317	3286
88	319	3275
89	322	3259
90	325	3247
91	327	3232
92	329	3216
93	332	3200
94	334	3185
95	336	3170
96	339	3157
97	341	3142
98	344	3131
99	346	3121
100	349	3106
101	351	3096
102	354	3088
103	356	3074
104	358	3058
105	361	3049
106	364	3038
107	366	3028
108	369	3021
109	372	3013
110	375	3004
111	377	2991
112	379	2979
113	382	2969
114	384	2959
115	387	2950
116	389	2939
117	391	2927
118	394	2917
119	396	2907
120	398	2898
121	400	2883
122	402	2873
123	405	2863
124	407	2851
125	409	2841
126	411	2831
127	414	2823
128	417	2817
129	419	2809
130	422	2802
131	424	2792
132	426	2783
133	428	2772
134	431	2763
135	433	2754
136	435	2746
137	438	2736
138	440	2726
139	443	2721
140	444	2710
141	446	2696
142	448	2686
143	450	2677
144	452	2669
145	454	2660
146	456	2651
147	459	2643
148	461	2633
149	463	2624
150	465	2615
151	467	2606
152	469	2597
153	471	2591
154	474	2584
155	476	2576
156	478	2569
157	480	2561
158	483	2555
159	485	2549
160	487	2540
161	489	2533
162	491	2524
163	493	2517
164	496	2510
165	498	2503
166	500	2496
167	503	2491
168	505	2484
169	507	2477
170	509	2470
171	511	2463
172	514	2458
173	516	2452
174	518	2445
175	520	2438
176	523	2434
177	525	2425
178	527	2421
179	530	2417
180	533	2414
181	536	2409
182	538	2402
183	540	2396
184	542	2391
185	545	2386
186	548	2385
187	552	2384
188	554	2380
189	557	2375
190	559	2369
191	562	2366
192	565	2364
193	567	2359
194	570	2353
195	572	2347
196	575	2343
197	577	2339
198	580	2334
199	582	2329
200	585	2327
201	587	2322
202	590	2319
203	593	2315
204	596	2312
205	598	2307
206	601	2302
207	604	2301
208	606	2297
209	609	2293
210	612	2290
211	614	2284
212	617	2281
213	620	2279
214	623	2277
215	626	2273
216	631	2277
217	633	2270
218	635	2266
219	638	2265
220	642	2266
221	645	2262
222	650	2267
223	653	2263
224	657	2263
225	659	2259
226	662	2254
227	664	2250
228	667	2246
229	670	2243
230	672	2238
231	675	2234
232	678	2232
233	680	2229
234	683	2225
235	686	2221
236	688	2216
237	690	2211
238	693	2207
239	695	2203
240	700	2204
241	702	2201
242	705	2197
243	707	2191
244	709	2187
245	713	2185
246	715	2181
247	718	2177
248	720	2173
249	723	2169
250	725	2163
251	728	2161
252	731	2159
253	733	2155
254	736	2151
255	740	2151
256	743	2148
257	745	2144
258	748	2142
259	751	2137
260	754	2135
261	756	2130
262	758	2126
263	761	2122
264	763	2118
265	766	2114
266	769	2113
267	772	2108
268	774	2105
269	782	2115
270	784	2111
271	787	2107
272	790	2104
273	793	2103
274	796	2098
275	798	2095
276	802	2093
277	804	2090
278	807	2087
279	809	2082
280	812	2077
281	814	2073
282	818	2072
283	819	2067
284	822	2062
285	824	2058
286	826	2054
287	830	2052
288	832	2049
289	835	2045
290	837	2040
291	839	2036
292	842	2032
293	844	2028
294	847	2024
295	849	2021
296	851	2016
297	854	2013
298	856	2007
299	858	2003
300	860	1998
301	862	1994
302	864	1989
303	867	1985
304	869	1980
305	871	1975
306	873	1972
307	877	1971
308	880	1968
309	882	1963
310	884	1958
311	887	1956
312	889	1952
313	892	1948
314	894	1944
315	896	1941
316	906	1954
317	910	1953
318	913	1949
319	916	1946
320	918	1943
321	920	1939
322	923	1936
323	926	1932
324	928	1929
325	931	1926
326	934	1923
327	936	1919
328	938	1914
329	941	1911
330	943	1907
331	946	1904
332	949	1900
333	951	1897
334	953	1893
335	955	1888
336	958	1886
337	961	1882
338	963	1878
339	965	1874
340	967	1870
341	970	1867
342	973	1864
343	976	1861
344	979	1858
345	981	1855
346	984	1852
347	987	1849
348	991	1849
349	993	1845
350	996	1842
351	998	1838
352	1000	1834
353	1003	1831
354	1007	1830
355	1010	1828
356	1013	1825
357	1015	1821
358	1018	1817
359	1020	1814
360	1023	1811
361	1025	1807
362	1028	1805
363	1031	1801
364	1033	1798
365	1036	1794
366	1038	1791
367	1041	1789
368	1044	1786
369	1047	1783
370	1051	1782
371	1054	1780
372	1058	1778
373	1060	1775
374	1063	1772
375	1066	1769
376	1068	1766
377	1071	1763
378	1074	1760
379	1078	1759
380	1081	1756
381	1085	1755
382	1087	1752
383	1091	1751
384	1094	1748
385	1097	1745
386	1100	1742
387	1102	1739
388	1105	1736
389	1108	1733
390	1111	1730
391	1114	1728
392	1117	1725
393	1119	1722
394	1123	1720
395	1125	1717
396	1128	1713
397	1130	1710
398	1134	1708
399	1136	1704
400	1138	1700
401	1141	1697
402	1143	1693
403	1146	1691
404	1148	1687
405	1150	1683
406	1152	1679
407	1155	1676
408	1160	1676
409	1164	1675
410	1166	1672
411	1169	1669
412	1173	1667
413	1176	1664
414	1178	1660
415	1180	1657
416	1183	1655
417	1186	1652
418	1190	1650
419	1192	1647
420	1195	1643
421	1198	1641
422	1202	1639
423	1204	1636
424	1207	1633
425	1209	1629
426	1211	1626
427	1215	1624
428	1219	1622
429	1223	1621
430	1226	1619
431	1230	1617
432	1235	1617
433	1238	1614
434	1240	1611
435	1244	1609
436	1247	1606
437	1249	1603
438	1252	1600
439	1255	1597
440	1258	1594
441	1261	1591
442	1265	1591
443	1268	1588
444	1272	1586
445	1275	1584
446	1278	1581
447	1281	1578
448	1283	1575
449	1286	1572
450	1289	1569
451	1293	1568
452	1297	1566
453	1300	1563
454	1303	1560
455	1306	1558
456	1309	1555
457	1311	1552
458	1314	1549
459	1317	1546
460	1321	1545
461	1324	1542
462	1327	1539
463	1329	1535
464	1331	1532
465	1333	1528
466	1335	1524
467	1338	1521
468	1341	1518
469	1343	1515
470	1346	1512
471	1349	1509
472	1352	1506
473	1354	1503
474	1357	1500
475	1360	1497
476	1363	1495
477	1366	1492
478	1369	1489
479	1372	1486
480	1375	1483
481	1377	1480
482	1380	1477
483	1383	1474
484	1385	1471
485	1388	1468
486	1390	1464
487	1393	1461
488	1395	1458
489	1398	1455
490	1401	1452
491	1403	1449
492	1406	1446
493	1409	1443
494	1411	1440
495	1414	1437
496	1416	1433
497	1418	1430
498	1421	1426
499	1423	1423
500	1426	1420
501	1428	1417
502	1431	1414
503	1433	1411
504	1436	1408
505	1439	1404
506	1441	1402
507	1445	1399
508	1447	1396
509	1450	1393
510	1452	1389
511	1455	1387
512	1458	1384
513	1460	1381
514	1463	1378
515	1466	1375
516	1469	1373
517	1472	1370
518	1474	1366
519	1477	1364
520	1480	1361
521	1484	1359
522	1486	1355
523	1488	1352
524	1491	1349
525	1494	1346
526	1496	1343
527	1498	1339
528	1501	1336
529	1503	1333
530	1505	1329
531	1507	1326
532	1509	1322
533	1512	1320
534	1515	1317
535	1517	1313
536	1520	1310
537	1522	1307
538	1524	1304
539	1527	1301
540	1530	1298
541	1533	1295
542	1536	1292
543	1538	1289
544	1540	1286
545	1544	1283
546	1546	1280
547	1548	1277
548	1551	1274
549	1553	1271
550	1556	1268
551	1559	1265
552	1562	1262
553	1564	1259
554	1566	1256
555	1569	1253
556	1571	1250
557	1574	1247
558	1576	1243
559	1578	1240
560	1580	1237
561	1583	1234
562	1585	1230
563	1588	1228
564	1591	1225
565	1593	1221
566	1595	1218
567	1597	1214
568	1599	1211
569	1602	1208
570	1604	1205
571	1607	1202
572	1609	1199
573	1611	1195
574	1613	1192
575	1616	1189
576	1618	1186
577	1621	1183
578	1623	1180
579	1625	1177
580	1628	1174
581	1631	1171
582	1634	1169
583	1637	1166
584	1640	1163
585	1643	1160
586	1645	1157
587	1647	1154
588	1650	1151
589	1652	1148
590	1654	1145
591	1657	1142
592	1660	1139
593	1663	1137
594	1666	1134
595	1668	1131
596	1671	1128
597	1673	1124
598	1675	1121
599	1678	1119
600	1681	1116
601	1683	1112
602	1685	1109
603	1687	1106
604	1690	1103
605	1693	1100
606	1695	1097
607	1698	1094
608	1700	1091
609	1702	1088
610	1705	1085
611	1707	1082
612	1710	1079
613	1712	1076
614	1714	1073
615	1717	1070
616	1719	1067
617	1721	1063
618	1723	1060
619	1725	1057
620	1727	1054
